Salary,HouseRent,Medical Bills,Recharges,Food,Cigg or Alcohol,Shopping,Others,Savings
77000,7000,9,629,9931,955,9171,2891,46414
16000,3000,742,824,4038,0,2503,4557,336
38000,7000,5658,673,7800,1879,2976,4101,7913
55000,3000,7168,558,5490,4252,2422,860,31250
24000,5000,8416,150,7607,8911,9626,4887,-20597
43000,0,1546,512,8165,0,4155,62,28560
44000,7000,6494,752,2549,0,4564,809,21832
52000,0,6368,832,8229,0,6222,2466,27883
68000,3000,4759,380,3012,964,4180,1119,50586
50000,0,4541,159,8318,3528,7274,3844,22336
59000,5000,3623,326,5940,0,6676,1991,35444
92000,3000,4370,334,3854,171,5574,3842,70855
40000,5000,3936,248,4390,369,7369,1475,17213
76000,9000,2115,541,9136,666,7924,4194,42424
90000,3000,5464,480,6428,1951,3462,2371,66844
70000,5000,4938,772,7813,0,6888,1485,43104
32000,0,2379,288,3845,9782,4262,802,10642
105000,5000,4254,262,4740,685,2471,784,86804
38000,7000,8770,257,4089,0,9914,1734,6236
19000,3000,2133,180,5076,676,9808,2722,-4595
79000,3000,1216,597,9223,219,6732,629,57384
28000,0,4193,232,4679,0,3127,2515,13254
92000,9000,4586,491,7651,3842,6933,3337,56160
35000,9000,2421,209,6063,4956,8410,265,3676
74000,0,9517,543,3989,324,2861,1555,55211
56000,7000,2851,883,5346,8623,9347,3693,18257
44000,7000,4957,388,4828,0,7009,4685,15133
105000,7000,4564,399,3494,347,4174,2346,82676
33000,3000,6079,195,7124,8275,9922,2190,-3785
26000,7000,9071,313,7987,196,2549,1028,-2144
99000,0,6298,827,2689,0,8995,1994,78197
29000,9000,3692,996,4651,458,5431,2451,2321
62000,5000,9499,651,6039,189,6240,617,33765
49000,5000,5497,795,5901,8895,3332,2312,17268
69000,0,4650,635,7613,438,4286,1494,49884
69000,3000,1399,601,2506,0,6222,2098,53174
107000,9000,6255,599,2920,1079,6415,2457,78275
71000,0,1381,687,6046,9624,8300,3474,41488
79000,3000,7348,174,10000,0,7057,4994,46427
63000,5000,1740,604,5860,833,7629,730,40604
99000,9000,6666,541,3559,5730,4629,1808,67067
57000,3000,9600,324,8877,1465,9062,4232,20440
92000,7000,905,326,8688,309,6187,2213,66372
83000,5000,9478,385,5190,0,4540,43,58364
23000,0,767,379,7200,717,4574,2606,6757
87000,9000,7855,757,3125,203,6276,4457,55327
72000,3000,4402,692,4049,225,8933,2093,48606
71000,9000,870,623,3349,402,4288,2310,50158
32000,7000,1124,997,3153,172,6016,4482,9056
93000,3000,5505,772,6170,685,8504,4328,64036
77000,7000,4507,803,5817,7540,2607,3578,45148
33000,7000,245,980,5710,856,4569,435,13205
109000,5000,7285,847,8084,0,6790,1430,79564
88000,0,7958,807,6931,8711,4118,3846,55629
98000,5000,2910,276,6052,0,9652,883,73227
17000,0,8484,229,2532,397,3050,2997,-689
48000,3000,6517,868,2000,9479,6750,2292,17094
60000,7000,6108,827,5213,9626,9618,1003,20605
103000,3000,4920,666,3927,9734,8363,198,72192
85000,3000,5803,605,8602,5329,6283,2201,53177
103000,3000,8221,500,9072,3811,8373,534,69489
105000,3000,1971,618,2873,223,4752,1130,90433
95000,3000,8745,762,6764,4534,3607,698,66890
25000,0,1613,334,6446,0,8695,900,7012
32000,9000,821,572,5139,819,3242,3475,8932
83000,3000,6486,924,6274,431,8441,2412,55032
45000,0,7680,250,2168,3389,3076,3171,25266
59000,3000,4291,373,2928,158,2064,1799,44387
41000,9000,8545,754,5071,4332,8647,3571,1080
46000,3000,2444,687,6859,831,9464,1058,21657
93000,7000,8167,380,8822,5114,2210,4365,56942
55000,7000,1408,376,6185,17,6207,3154,30653
105000,5000,7748,436,5344,3142,9130,3043,71157
77000,7000,1813,733,5223,8830,4139,4283,44979
20000,0,2548,649,8474,3608,5904,2650,-3833
66000,9000,1339,603,7716,6393,5095,4765,31089
37000,9000,3037,651,8542,0,5222,4190,6358
42000,5000,608,450,3626,0,5071,2716,24529
82000,7000,5960,438,9482,4160,5365,3470,46125
86000,5000,6506,989,5916,277,6950,4112,56250
36000,3000,9691,368,8427,6360,9405,4394,-5645
43000,5000,6089,272,9459,661,9905,4095,7519
79000,5000,7984,220,3428,113,5590,325,56340
36000,3000,1626,778,8215,0,7984,2978,11419
106000,3000,8510,264,5633,2933,8981,114,76565
34000,7000,7941,205,6369,3108,6884,2852,-359
65000,5000,4494,243,8005,7393,5202,4668,29995
19000,7000,4749,186,5831,3535,5546,1474,-9321
45000,9000,8918,827,6740,2266,7424,2062,7763
108000,5000,3317,715,8667,0,6125,4612,79564
99000,9000,5874,622,9600,42,4373,4270,65219
97000,5000,383,470,5433,0,9094,1987,74633
90000,0,1605,318,7516,17,2577,1375,76592
45000,5000,3539,168,3432,694,6920,345,24902
91000,9000,5901,970,8138,123,6374,3859,56635
91000,0,6206,512,6761,2888,2175,2510,69948
92000,7000,4217,423,3626,5710,3178,985,66861
28000,0,8963,215,2686,0,4140,751,11245
78000,9000,6000,640,6822,2248,2558,2851,47881
19000,3000,9003,888,6062,0,5176,4504,-9633
93000,3000,8545,225,9046,8986,7674,4911,50613
18000,5000,6082,526,6310,1655,5977,2519,-10069
45000,3000,3177,657,4732,988,8646,2207,21593
75000,0,7892,344,4655,2846,2088,261,56914
25000,0,1359,262,5284,172,2335,2347,13241
27000,5000,4944,777,5976,5060,4825,2176,-1758
101000,3000,851,796,8120,0,4714,4182,79337
23000,0,4390,671,9839,6674,5636,2601,-6811
79000,0,2834,578,8057,0,9166,1161,57204
91000,5000,3774,931,2685,2280,6238,1877,68215
46000,5000,9252,660,8863,7724,8388,3033,3080
83000,9000,9073,295,9655,0,7333,800,46844
105000,3000,3482,785,7574,5302,9589,1460,73808
19000,5000,3041,766,6297,9634,5423,422,-11583
55000,7000,5246,437,9442,4442,4641,1790,22002
82000,0,7132,656,9644,4286,9888,2031,48363
95000,0,7653,185,8522,138,5324,4540,68638
49000,5000,759,982,2962,0,7463,2686,29148
100000,5000,6601,280,2213,222,3301,4152,78231
43000,0,4976,308,7234,4609,6372,864,18637
108000,5000,4593,366,8242,2695,5755,1243,80106
70000,0,1544,994,2312,111,5888,2079,57072
27000,3000,4052,764,3269,811,8614,1464,5026
37000,3000,9607,949,9395,7429,2443,4477,-300
50000,0,5313,313,5763,0,5077,3239,30295
37000,5000,4030,179,6755,0,3983,1938,15115
97000,0,3393,482,5601,3596,4190,3163,76575
